clause_text,clause_type,risk
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
OUTSOURCING AGREEMENT,Document Name,Low
"SLICON SMELTERS PTY LTD (""Customer""); ESPACIO INFORMATION TECHNOLOGY, SA. (""EIT"")",Parties,Low
1/1/09,Agreement Date,Low
1/1/09,Effective Date,Low
successive 1 year,Renewal Term,Low
Spain,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Cap On Liability,High
Outsourcing Contract on Development of Miaoli Royal Resort Hotel,Document Name,Low
"The HUANG JIA Country CLUB and Recreation Inc. (""Party A""); Chang Chen-Bin Architects Office (""Party B"")",Parties,Low
10/29/15,Agreement Date,Low
Taiwan,Governing Law,Low
Outsourcing Agreement,Document Name,Low
"Paratek Pharmaceuticals, Inc. (""Customer""); CARBOGEN AMCIS AG (“Supplier” and, collectively with Customer, the “Parties”, and each, a “Party)",Parties,Low
12/30/16,Agreement Date,Low
12/30/16,Effective Date,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Price Restrictions,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
OUTSOURCING AGREEMENT,Document Name,Low
"Photronics, Inc. (“Photronics”); Dai Nippon Printing Co., Ltd. (“DNP”); Photronics DNP Photomask Corporation (“PDMC”); Xiamen American Japan Photronics Mask Co., Ltd. (""Company""); Phototronics and DNP (""Shareholder"" and collectively as ""Shareholders""); Shareholder and PDMC (""Supplier"" and collectively as the Suppliers"")",Parties,Low
5/16/17,Agreement Date,Low
perpetual,Expiration Date,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
COLOGUARD® PROMOTION AGREEMENT,Document Name,Low
"Pfizer Inc. (“Pfizer”); Exact Sciences Corporation (""Exact"") (""Party"" and collectively as the ""Parties"")",Parties,Low
8/21/18,Agreement Date,Low
8/21/18,Effective Date,Low
12/31/21,Expiration Date,Low
New York,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
CO-PROMOTION AGREEMENT,Document Name,Low
"Dova Pharmaceuticals, Inc. (""Dova""); Valeant Pharmaceuticals North America LLC (""Valeant"")(""Party"" and together as the ""Parties"")",Parties,Low
9/26/18,Agreement Date,Low
9/26/18,Effective Date,Low
9/26/22,Expiration Date,Low
[* * *],Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
PROMOTION AGREEMENT,Document Name,Low
"BookingEntertainment.com (""Promoter""); VNUE, Inc. (""VNUE"")",Parties,Low
9/10/15,Agreement Date,Low
9/10/15,Effective Date,Low
9/10/16,Expiration Date,Low
successive 1 year,Renewal Term,Low
Nevada,Governing Law,Low
Yes,Revenue/Profit Sharing,Low
PROMOTION AGREEMENT,Document Name,Low
"SIGA TECHNOLOGIES, INC. (""SIGA""); MERIDIAN MEDICAL TECHNOLOGIES, INC. (""MMT"")(""Party"" and collectively as the ""Parties"")",Parties,Low
5/31/19,Agreement Date,Low
5/31/19,Effective Date,Low
5/31/24,Expiration Date,Low
successive 3 years,Renewal Term,Low
New York,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
RESELLER AGREEMENT,Document Name,Low
"i3 Integrative Creative Solutions, LLC (""i3 ICS"", ""Reseller""); Bravatek Solutions, Inc. (""BVTK"", ""Company"")(""party"" and collectively ""parties"")",Parties,Low
4/7/17,Agreement Date,Low
4/7/17,Effective Date,Low
1 year,Renewal Term,Low
Virginia,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
WALABOT-HOME RESELLER AGREEMENT,Document Name,Low
"Vayyar Imaging Ltd. (""Supplier""); IndeLiving Holdings, Inc. (""Reseller"")(""Party"" and collectively as ""Parties"")",Parties,Low
7/31/19,Agreement Date,Low
7/31/19,Effective Date,Low
7/31/20,Expiration Date,Low
successive 1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
LICENSE AND RESELLER AGREEMENT,Document Name,Low
"EHAVE, INC. (""Ehave""); COMPANION HEALTHCARE TECHNOLOGIES CORP (""CHT"")",Parties,Low
10/30/18,Agreement Date,Low
10/30/18,Effective Date,Low
Perpetual,Expiration Date,Low
"Ontario, Canada",Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Source Code Escrow,Medium
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
Yes,Third Party Beneficiary,Low
FORM OF SUB-RESELLER AGREEMENT,Document Name,Low
"salesforce.com, inc. (""SFDC"", ""Salesforce""); Salesforce.org (""Reseller"")",Parties,Low
[]/[]/[],Agreement Date,Low
CHANNEL PARTNER RESELLER AGREEMENT,Document Name,Low
"IPASS INC. (""iPass""); Pareteum Corporation (""Channel Partner"")",Parties,Low
4/25/18,Agreement Date,Low
4/25/18,Effective Date,Low
4/25/19,Expiration Date,Low
successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Third Party Beneficiary,Low
SPONSORSHIP AND SERVICES AGREEMENT,Document Name,Low
"HOF Village, LLC (""HOFV"");  National Football Museum, Inc. d/b/a Pro Football Hall of Fame (""PFHOF""(“PFHOF” and, together with HOFV, the “HOF Entities”); Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries (collectively, “Constellation”); HOFV and/or PFHOF, and Constellation, (“Party” and, collectively, as the “Parties”)",Parties,Low
12/19/18,Agreement Date,Low
12/31/28,Expiration Date,Low
Ohio,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
DISTRIBUTION AND SERVICES AGREEMENT,Document Name,Low
"Integrity Short Term Government Fund, (""fund""); The Integrity Funds, Integrity Funds Distributor, LLC, (""Integrity"")",Parties,Low
1/18/20,Agreement Date,Low
1/18/22,Expiration Date,Low
successive 1 year,Renewal Term,Low
Kansas,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Audit Rights,Medium
TRANSITION SERVICES AGREEMENT,Document Name,Low
"Reynolds Group Holdings Inc. (""RGHI""); Reynolds Consumer Products Inc. (""Company"" or ""RCP""); Each Party or any of its Affiliates providing services hereunder  (“Provider”); each Party or any of its Affiliates receiving services hereunder (“Recipient”)",Parties,Low
[]/[]/2020,Agreement Date,Low
[]/[]/2021,Expiration Date,Low
Illinois,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
"TRANSFER AND SERVICING AGREEMENT, d",Document Name,Low
"VERIZON OWNER TRUST (""Issuer""); VERIZON ABS LLC (""Depositor""); Cellco Partnership d/b/a Verizon Wireless (""Cellco"", ""Servicer"", ""Marketing Agent"", ""Custodian"")",Parties,Low
1/29/20,Agreement Date,Low
New York,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Third Party Beneficiary,Low
JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT,Document Name,Low
"Jacksonville Jaguars, LLC (""Club""); The ARC Group, Inc. (""Sponser"")",Parties,Low
11/27/17,Agreement Date,Low
4/1/18,Effective Date,Low
2/28/23,Expiration Date,Low
Yes,License Grant,Low
EVENT SPONSORSHIP AGREEMENT,Document Name,Low
"Newegg Inc. (""Newegg""); Allied Esports International, Inc. (""Allied"")(""Parties"" and each as a ""Party"")",Parties,Low
2/1/19,Agreement Date,Low
2/1/19,Effective Date,Low
1/31/24,Expiration Date,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
SPONSORSHIP AGREEMENT,Document Name,Low
"Fruit of Life Productions LLC (""Promoter""); Eco Science Solutions, Inc. (""Sponsor"")",Parties,Low
4/1/18,Agreement Date,Low
4/1/18,Effective Date,Low
4/30/18,Expiration Date,Low
Florida,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Insurance,High
ODM SUPPLY AGREEMENT,Document Name,Low
"ORGANIC PREPARATIONS INC. (""the Manufacturer""); AGAPE ATP INTERNATIONAL HOLDING LIMITED (""the Customer"")",Parties,Low
1/15/18,Agreement Date,Low
1/15/18,Effective Date,Low
1/15/28,Expiration Date,Low
successive 10 years,Renewal Term,Low
England,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Warranty Duration,Low
Yes,Insurance,High
Corporate Sponsorship Agreement,Document Name,Low
"Freeze Tag Inc. (""Company""); American Diabetes Association (""Association"")",Parties,Low
3/22/18,Agreement Date,Low
3/14/18,Effective Date,Low
3/14/20,Expiration Date,Low
Virginia,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
SUPPLY CONTRACT,Document Name,Low
"Shenzhen LOHAS Supply Chain Management Co., Ltd. (""buyer"",""End-User""); the seller",Parties,Low
People's Republic of China; United Nations Convention on Contract for the International Sale of Goods,Governing Law,Low
Yes,Warranty Duration,Low
Yes,Insurance,High
MASTER SUPPLY AGREEMENT,Document Name,Low
"REYNOLDS CONSUMER PRODUCTS LLC (""Seller""); PACTIV LLC (""Buyer"")(""Party"" and collectively at times as the ""Parties"")",Parties,Low
11/1/19,Agreement Date,Low
11/1/19,Effective Date,Low
Illinois,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
GLOBAL MASTER SUPPLY AGREEMENT,Document Name,Low
"ExxonMobil Chemical Company (""Seller""), on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""); West Pharmaceutical Services, Inc. (""Buyer""), on behalf of itself and the Buyer affiliates listed on Attachment C (each a ""Buyer Affiliate"" or “West/A"" or collectively, ""Buyer Affiliates"")",Parties,Low
1/10/20,Agreement Date,Low
1/1/19,Effective Date,Low
12/31/23,Expiration Date,Low
Texas; Singapore; Belgium,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
FORM OF TRADEMARK LICENSE AGREEMENT,Document Name,Low
"HERTZ INVESTMENT GROUP, LLC (""Licensor""); HERTZ GROUP REALTY TRUST, INC. (""Licensee"" and together with Licensor, the ""Parties"")",Parties,Low
09/[]/2019,Agreement Date,Low
09/[]/2019,Effective Date,Low
California,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
FORM OF TRADEMARK LICENSE AGREEMENT,Document Name,Low
"ARCONIC INC. (""Licensee""); ARCONIC ROLLED PRODUCTS CORP. (""Licensor"")",Parties,Low
[]/[]/2020,Agreement Date,Low
[]/[]/2020,Effective Date,Low
Delaware,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Audit Rights,Medium
Yes,Covenant Not To Sue,Low
TRADEMARK LICENSE AGREEMENT,Document Name,Low
"Morgan Stanley Investment Management Inc. (""Licensor""); Morgan Stanley Direct Lending Fund (""Licensee"")",Parties,Low
[]/[]/2019,Agreement Date,Low
[]/[]/2019,Effective Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
TRADEMARK LICENSE AGREEMENT,Document Name,Low
"New Mountain Capital, LLC. (""Licensor""); NMF Senior Loan Fund I, Inc. (""Licensee"")(""party"" and collectively as the ""parties"")",Parties,Low
[]/[]/2019,Agreement Date,Low
[]/[]/2019,Effective Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
Yes,Third Party Beneficiary,Low
TRADEMARK LICENSE AGREEMENT,Document Name,Low
"Palmer Square Capital Management LLC (""Licensor""); Palmer Square Capital BDC Inc. (""Licensee"")",Parties,Low
[]/[]/2020,Agreement Date,Low
[]/[]/2020,Effective Date,Low
perpetual,Expiration Date,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Third Party Beneficiary,Low
GAS TRANSPORTATION AGREEMENT,Document Name,Low
"PennTex North Louisiana Operating, LLC (""Transporter""); MRD Operating LLC (“Customer”)(""Parties"" and individually as a ""Party)",Parties,Low
4/14/15,Agreement Date,Low
4/14/15,Effective Date,Low
12/31/30,Expiration Date,Low
perpetual,Renewal Term,Low
Texas,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150,Document Name,Low
"Great Lakes Gas Transmission Limited Partnership (""Transporter""); ANR PIPELINE COMPANY (""Shipper"")",Parties,Low
12/14/15,Agreement Date,Low
11/1/16,Effective Date,Low
10/31/17,Expiration Date,Low
Michigan,Governing Law,Low
Yes,Volume Restriction,Low
TRANSPORTATION SERVICES AGREEMENT,Document Name,Low
"PennTex North Louisiana Operating, LLC (""Carrier""); MRD Operating LLC (""Shipper"")(""Party"", or collectively as the ""Parties"")",Parties,Low
4/14/15,Agreement Date,Low
4/14/15,Effective Date,Low
perpetual,Expiration Date,Low
perpetual,Renewal Term,Low
Texas,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Road Transportation Agreement,Document Name,Low
"ZTO Express Co., Ltd. (""Party A""); Tonglu Tongze Logistics Ltd. (""Party B"")",Parties,Low
12/22/14,Agreement Date,Low
12/22/14,Effective Date,Low
perpetual,Expiration Date,Low
People's Republic of China,Governing Law,Low
Yes,Liquidated Damages,High
Yes,Insurance,High
"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT",Document Name,Low
"Amazon.com Commerce Services, Inc. (""ACSI""); Audible Inc. (""Company"")(""Parties"" and individually as a ""Party"")",Parties,Low
1/30/00,Agreement Date,Low
1/30/00,Effective Date,Low
1/30/03,Expiration Date,Low
Washington,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
CO-BRANDING AND ADVERTISING AGREEMENT,Document Name,Low
"I-ESCROW, INC.  (""i-Escrow"" ); 2THEMART.COM, INC. (""2TheMart"")",Parties,Low
6/21/99,Agreement Date,Low
6/21/99,Effective Date,Low
6/21/00,Expiration Date,Low
Successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
CO-BRANDING AGREEMENT,Document Name,Low
"Snap Technologies, Inc. (""Snap""); United Airlines, Inc. (""Sponsor"")",Parties,Low
6/8/99,Agreement Date,Low
6/8/99,Effective Date,Low
12/31/00,Expiration Date,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Cap On Liability,High
CO-BRANDING CONTENT AGREEMENT,Document Name,Low
"MEDIALINX INTERACTIVE, L.P. (""MLX""); HEALTHCENTRAL.com INC. (""HCI"")",Parties,Low
6/30/99,Agreement Date,Low
9/1/99,Effective Date,Low
9/1/01,Expiration Date,Low
"Ontario, Canada",Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
CO-BRANDING AGREEMENT,Document Name,Low
